player,team,salary
Tyrese Martin,BRK,635853
Jaden Springer,UTA,4772772
Matt Ryan,NYK,621439
Ryan Rollins,WAS,1091887
Javonte Green,CLE,2328350
Brandon Boston Jr.,NOP,596581
Juwan Morgan,IND,576229
Malik Fitts,IND,555216
Jeenathan Williams,HOU,515881
Bismack Biyombo,SAS,647851
Jaylen Clark,MIN,492323
Dominick Barlow,ATL,491887
Orlando Robinson,TOR,1691610
Ryan Rollins,MIL,1091887
Mamadi Diakite,MEM,464050
Quinten Post,GSW,438920
Pat Spencer,GSW,438810
Justin Edwards,PHI,425619
Ricky Rubio,CLE,424672
Lamar Stevens,MEM,623856
Branden Carlson,OKC,496519
Tony Bradley,IND,600545
Moses Brown,IND,426632
Jaylen Nowell,NOP,446743
Elfrid Payton,NOP,789048
Didi Louzada,POR,268032
Kevin Knox,GSW,503883
AJ Griffin,HOU,250000
P.J. Tucker,NYK,12025777
Jordan Goodwin,LAL,223718
Jaylen Nowell,WAS,446743
Isaac Jones,SAC,152957
Malevy Leons,OKC,126356
Chuma Okeke,PHI,355687
Elfrid Payton,CHO,789048
Cole Swider,TOR,227947
Jalen McDaniels,WAS,4861772
Jared Rhoden,TOR,119972
Eugene Omoruyi,TOR,119972
Terry Taylor,SAC,119972
Skal Labissiere,SAC,119972
Daishen Nix,SAC,119972
Oshae Brissett,PHI,119972
David Roddy,PHI,2967212
Mo Bamba,NOP,2207491
Jahlil Okafor,IND,119972
Moses Brown,DAL,426632
Malachi Flynn,CHO,119972
Killian Hayes,BRK,119972
Kevon Harris,ATL,119972
Chuma Okeke,CLE,355687
Drew Timme,BRK,113055
Colin Castleton,TOR,421081
Colin Castleton,PHI,421081
Marcus Garrett,CHO,107027
Javon Freeman-Liberty,TOR,100000
A.J. Lawson,TOR,100000
Marcus Bagley,PHI,126356
Kylor Kelley,NOP,73153
Jaylen Sims,CHO,73153
Erik Stevenson,WAS,66503
Phillip Wheeler,PHI,66503
Yuri Collins,GSW,66503
Nae'Qwan Tomlin,CLE,66503
Terence Davis,SAC,64301
Brandon Williams,DAL,47989
Javante McCoy,DET,47265
Isaiah Mobley,PHI,11997
Braxton Key,GSW,11997
JD Davison,BOS,11997
