player,team,position,games,mpg,ppg,ast,reb,salary,salary_tier,per,ts_pct,ws,bpm,vorp
Max Christie,2TM,SG,78,2127.0,749.0,146.0,258.0,7142857,Role Player,10.4,0.57,2.7,-2.5,-0.3
Franz Wagner,ORL,SF,60,2023.0,1449.0,284.0,342.0,7007092,Role Player,20.1,0.558,5.6,3.1,2.6
Ayo Dosunmu,CHI,SG,46,1394.0,566.0,208.0,161.0,7000000,Role Player,12.8,0.585,2.5,-1.6,0.1
Donovan Clingan,POR,C,67,1324.0,436.0,77.0,527.0,6836400,Role Player,17.4,0.574,4.0,-0.3,0.6
Payton Pritchard,BOS,PG,80,2271.0,1144.0,279.0,307.0,6696429,Role Player,17.6,0.633,8.6,3.5,3.2
Kenrich Williams,OKC,PF,69,1132.0,436.0,97.0,241.0,6669000,Role Player,13.7,0.587,3.6,0.6,0.7
Shaedon Sharpe,POR,SG,72,2252.0,1335.0,198.0,324.0,6614160,Role Player,14.5,0.551,3.0,-1.3,0.4
Davion Mitchell,2TM,PG,74,2027.0,588.0,363.0,167.0,6451077,Role Player,10.2,0.573,3.0,-2.6,-0.3
Jarace Walker,IND,PF,75,1187.0,461.0,110.0,229.0,6362520,Role Player,11.9,0.59,1.6,-0.9,0.3
Dean Wade,CLE,PF,59,1252.0,320.0,76.0,249.0,6166667,Role Player,10.1,0.563,3.0,0.3,0.7
John Konchar,MEM,SG,46,558.0,112.0,42.0,151.0,6165000,Role Player,12.1,0.592,1.5,1.7,0.5
Ziaire Williams,BRK,SF,63,1541.0,632.0,84.0,287.0,6133005,Role Player,11.9,0.55,2.1,-2.3,-0.1
Dyson Daniels,ATL,SG,76,2571.0,1073.0,333.0,449.0,6059520,Role Player,15.6,0.545,5.0,1.5,2.3
Precious Achiuwa,NYK,C,57,1170.0,379.0,55.0,317.0,6000000,Role Player,13.6,0.53,2.3,-1.9,0.0
Malik Beasley,DET,SG,82,2283.0,1336.0,139.0,214.0,6000000,Role Player,14.4,0.59,4.7,0.8,1.6
Moses Moody,GSW,SG,74,1649.0,724.0,96.0,189.0,5803269,Role Player,12.4,0.578,3.5,-0.9,0.5
Zach Edey,MEM,C,66,1416.0,610.0,65.0,548.0,5756880,Role Player,18.2,0.624,4.9,-0.1,0.7
Corey Kispert,WAS,SF,61,1602.0,705.0,103.0,181.0,5705887,Role Player,11.0,0.584,1.1,-3.7,-0.7
Jeremy Sochan,SAS,PF,54,1364.0,617.0,128.0,352.0,5570040,Role Player,15.9,0.589,2.7,-1.2,0.3
Cason Wallace,OKC,SG,68,1876.0,568.0,173.0,229.0,5555880,Role Player,12.3,0.562,5.2,1.0,1.5
Alperen Sengun,HOU,C,76,2395.0,1451.0,372.0,786.0,5424654,Role Player,21.4,0.545,8.3,4.4,3.9
Haywood Highsmith,MIA,SF,74,1818.0,478.0,112.0,252.0,5200000,Role Player,9.9,0.583,3.3,-1.9,0.1
Matas Buzelis,CHI,SF,80,1511.0,688.0,79.0,278.0,5195520,Role Player,12.5,0.571,1.9,-2.5,-0.2
Kris Dunn,LAC,PG,74,1783.0,474.0,210.0,251.0,5168000,Role Player,11.3,0.531,4.0,0.6,1.2
Trey Murphy III,NOP,SF,53,1854.0,1124.0,188.0,268.0,5159854,Role Player,17.3,0.598,3.5,0.8,1.3
Nick Richards,2TM,C,57,1256.0,529.0,49.0,466.0,5000000,Role Player,16.6,0.634,3.0,-3.3,-0.4
Drew Eubanks,2TM,C,61,746.0,280.0,54.0,226.0,5000000,Role Player,15.6,0.622,1.7,-0.7,0.3
